epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,8219.02,1.25241,1.1024,1.46589,0.69435,0.46961,0.52105,0.26141,1.72088,1.3292,1.70318,0.00154856,0.00154856,0.00154856
116,8286.15,1.24106,1.09804,1.46624,0.70096,0.48283,0.52244,0.25937,1.75022,1.28346,1.6883,0.0015446,0.0015446,0.0015446
117,8352.87,1.24329,1.09772,1.46263,0.71429,0.46839,0.51901,0.25553,1.75756,1.31236,1.70821,0.00154064,0.00154064,0.00154064
118,8419.79,1.2278,1.07546,1.45474,0.71473,0.45328,0.5019,0.25409,1.73923,1.36736,1.71774,0.00153668,0.00153668,0.00153668
119,8486.33,1.21395,1.09739,1.45823,0.70951,0.4576,0.5083,0.25044,1.77234,1.37823,1.73106,0.00153272,0.00153272,0.00153272
120,8553.24,1.19053,1.03483,1.43002,0.71576,0.47317,0.51669,0.25543,1.75711,1.34072,1.7314,0.00152876,0.00152876,0.00152876
121,8620.24,1.23324,1.06856,1.45014,0.70648,0.46492,0.51694,0.25246,1.78082,1.35554,1.73762,0.0015248,0.0015248,0.0015248
122,8687.17,1.21611,1.05009,1.45907,0.70774,0.46482,0.51514,0.25542,1.73508,1.39571,1.73876,0.00152084,0.00152084,0.00152084
123,8754.2,1.22686,1.09058,1.47637,0.72804,0.46911,0.52626,0.26167,1.74203,1.34499,1.69243,0.00151688,0.00151688,0.00151688
124,8820.82,1.22554,1.07641,1.46667,0.71546,0.48086,0.52537,0.25758,1.76035,1.28518,1.71626,0.00151292,0.00151292,0.00151292
125,8887.69,1.22903,1.06374,1.45753,0.72711,0.47308,0.514,0.25276,1.76272,1.31134,1.71754,0.00150896,0.00150896,0.00150896
126,8954.53,1.19608,1.06322,1.43875,0.71057,0.47167,0.5173,0.25213,1.77489,1.34014,1.72428,0.001505,0.001505,0.001505
127,9021.48,1.19882,1.04651,1.44724,0.70225,0.49053,0.52948,0.262,1.73593,1.2725,1.70754,0.00150104,0.00150104,0.00150104
128,9088.3,1.22469,1.03326,1.45982,0.71326,0.46642,0.51561,0.25588,1.79408,1.30667,1.74018,0.00149708,0.00149708,0.00149708
129,9155.45,1.24959,1.0953,1.46437,0.70157,0.47944,0.51528,0.25936,1.73102,1.33014,1.71291,0.00149312,0.00149312,0.00149312
130,9222.14,1.22486,1.07384,1.47391,0.72285,0.47098,0.51357,0.25124,1.82258,1.34586,1.7655,0.00148916,0.00148916,0.00148916
131,9288.96,1.24545,1.08797,1.46197,0.71154,0.47298,0.51782,0.25864,1.73732,1.32579,1.72242,0.0014852,0.0014852,0.0014852
132,9356.12,1.20715,1.02234,1.42903,0.7054,0.47013,0.5227,0.26316,1.73736,1.3679,1.71543,0.00148124,0.00148124,0.00148124
133,9422.97,1.24835,1.08468,1.46467,0.70514,0.47683,0.51787,0.2621,1.72129,1.31701,1.69912,0.00147728,0.00147728,0.00147728
134,9489.42,1.17991,1.05117,1.43989,0.72152,0.4758,0.5139,0.25306,1.78494,1.29408,1.73925,0.00147332,0.00147332,0.00147332
